127.0.0.1 - - [03/Sep/2018:11:26:13 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:26:17 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:26:17 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:26:17 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:26:18 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:02 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:02 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:02 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:05 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:05 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:05 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:32:05 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:34 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:34 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 200 1168307
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:38 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:38 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:44 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [03/Sep/2018:11:33:45 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
